,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lashio,22.9333,97.75,66.45,98,30,0.47,MM,1652566176
1,Ixtapa,20.7,-105.2,82.22,69,75,6.91,MX,1652566612
2,São João da Barra,-21.6403,-41.0511,72.86,72,98,8.93,BR,1652566171
3,Avarua,-21.2078,-159.775,75.25,88,75,5.75,CK,1652566613
4,Grand Gaube,-20.0064,57.6608,75.6,77,5,3.0,MU,1652566614
5,Arraial do Cabo,-22.9661,-42.0278,73.26,73,0,9.22,BR,1652566614
6,Ushuaia,-54.8,-68.3,44.26,70,20,10.36,AR,1652566554
7,Amapá,1.0,-52.0,74.44,99,100,2.35,BR,1652566399
8,Dunedin,-45.8742,170.5036,48.79,90,100,1.99,NZ,1652566461
9,Cape Town,-33.9258,18.4232,60.91,75,0,10.0,ZA,1652566615
10,Nikolskoye,59.7035,30.7861,46.8,94,49,4.94,RU,1652566616
11,Sur,22.5667,59.5289,82.94,69,0,1.54,OM,1652566616
12,Río Gallegos,-51.6226,-69.2181,44.65,76,20,8.05,AR,1652566102
13,Vaini,-21.2,-175.2,77.16,69,75,13.8,TO,1652566617
14,Manaus,-3.1019,-60.025,82.89,83,75,6.91,BR,1652566390
15,Punta Arenas,-53.15,-70.9167,48.11,70,57,13.69,CL,1652566356
16,Puerto Ayora,-0.7393,-90.3518,76.96,94,78,3.0,EC,1652566618
17,Saint-Philippe,-21.3585,55.7679,67.59,75,53,7.38,RE,1652566618
18,Atar,20.5169,-13.0499,94.55,11,83,7.76,MR,1652566440
19,Baruun-Urt,46.6806,113.2792,45.05,44,92,8.59,MN,1652566619
20,Saint Paul Harbor,57.79,-152.4072,49.51,46,0,13.8,US,1652566620
21,Busselton,-33.65,115.3333,58.12,73,100,5.73,AU,1652566620
22,Cabedelo,-6.9811,-34.8339,77.67,84,44,11.01,BR,1652566621
23,Airai,-8.9266,125.4092,61.34,96,79,1.01,TL,1652566621
24,Bredasdorp,-34.5322,20.0403,53.56,81,9,1.32,ZA,1652566622
25,Mazagão,-0.115,-51.2894,80.65,95,98,3.51,BR,1652566622
26,Philadelphia,39.9523,-75.1638,69.94,95,100,8.05,US,1652566477
27,Northam,51.0333,-4.2167,53.62,85,100,4.21,GB,1652566615
28,Port Alfred,-33.5906,26.891,61.03,80,13,5.21,ZA,1652566623
29,Ribeira Grande,38.5167,-28.7,60.17,70,39,29.1,PT,1652565733
30,Kupang,-10.1667,123.5833,76.96,89,25,6.22,ID,1652566624
31,Mayo,38.8876,-76.5119,70.21,93,100,3.44,US,1652566509
32,Mataura,-46.1927,168.8643,46.47,83,76,3.09,NZ,1652566625
33,Deputatsky,69.3,139.9,16.09,92,100,3.67,RU,1652566626
34,Sassandra,4.95,-6.0833,75.25,91,100,3.65,CI,1652566182
35,Hithadhoo,-0.6,73.0833,82.83,68,98,10.69,MV,1652566627
36,Honningsvåg,70.9821,25.9704,38.95,81,80,3.44,NO,1652566628
37,Guerrero Negro,27.9769,-114.0611,76.64,40,100,15.93,MX,1652566098
38,Tasiilaq,65.6145,-37.6368,28.56,71,100,2.86,GL,1652566629
39,Mulchén,-37.7167,-72.2333,55.26,72,75,4.74,CL,1652566629
40,College,64.8569,-147.8028,48.09,70,100,9.22,US,1652566630
41,Sisimiut,66.9395,-53.6735,28.56,62,72,15.64,GL,1652566630
42,Cabo San Lucas,22.8909,-109.9124,91.62,32,20,12.66,MX,1652566384
43,Albany,42.6001,-73.9662,79.45,63,97,1.01,US,1652566631
44,Rikitea,-23.1203,-134.9692,76.26,70,1,21.12,PF,1652566632
45,Upernavik,72.7868,-56.1549,16.7,83,12,4.9,GL,1652566390
46,Outlook,51.5001,-107.0513,64.24,28,100,16.55,CA,1652566632
47,Belaya Gora,68.5333,146.4167,21.78,87,100,4.72,RU,1652566457
48,Darhan,49.4867,105.9228,48.74,36,28,6.73,MN,1652566633
49,George Town,5.4112,100.3354,82.33,93,20,2.3,MY,1652566634
50,Koshki,54.2091,50.4677,46.69,91,69,7.7,RU,1652566634
51,Bluff,-46.6,168.3333,46.8,76,79,9.04,NZ,1652566589
52,Troitsko-Pechorsk,62.7084,56.1964,44.85,95,100,1.36,RU,1652566635
53,Touba,8.2833,-7.6833,79.02,70,75,3.27,CI,1652566636
54,Tucuruí,-3.7661,-49.6725,76.39,95,56,3.71,BR,1652565997
55,Dali,25.7,100.1833,61.74,90,91,4.32,CN,1652566637
56,Broken Hill,-31.95,141.4333,59.5,71,82,7.81,AU,1652566637
57,Bois-Guillaume,49.4602,1.1222,60.58,76,0,9.22,FR,1652566638
58,Zyryanka,65.75,150.85,26.55,82,78,5.66,RU,1652566638
59,Hobart,-42.8794,147.3294,58.05,79,40,4.61,AU,1652566639
60,Mackay,-21.15,149.2,74.68,84,19,4.81,AU,1652565957
61,Madīnat Sittah Uktūbar,29.8167,31.05,69.4,51,89,18.54,EG,1652566639
62,Saldanha,-33.0117,17.9442,58.6,83,0,12.39,ZA,1652566110
63,Kruisfontein,-34.0033,24.7314,50.88,88,1,4.45,ZA,1652566113
64,Hermanus,-34.4187,19.2345,57.11,77,11,6.96,ZA,1652566640
65,Maceió,-9.6658,-35.7353,76.44,88,75,3.44,BR,1652566641
66,Sobolevo,54.4299,31.8996,45.93,94,100,8.52,RU,1652566641
67,Cap Malheureux,-19.9842,57.6142,72.46,77,2,3.0,MU,1652566642
68,Port Elizabeth,-33.918,25.5701,55.31,95,0,5.75,ZA,1652566643
69,Coahuayana Viejo,18.7333,-103.6833,88.86,47,100,7.58,MX,1652566516
70,Kundiawa,-6.0167,144.9667,63.86,95,100,1.41,PG,1652566644
71,Antalaha,-14.9003,50.2788,71.13,77,8,8.43,MG,1652566636
72,Richards Bay,-28.783,32.0377,67.12,92,95,6.38,ZA,1652566644
73,Yellowknife,62.456,-114.3525,59.56,26,97,15.01,CA,1652565875
74,Tongchuanshi,35.0806,109.0897,49.98,65,99,0.89,CN,1652566645
75,Touros,-5.1989,-35.4608,79.0,84,61,12.77,BR,1652566064
76,Mandera,3.9366,41.867,81.23,63,95,19.06,KE,1652566646
77,Tuktoyaktuk,69.4541,-133.0374,24.8,80,100,9.22,CA,1652566646
78,Arroyo de la Encomienda,41.6096,-4.7969,60.15,84,0,6.91,ES,1652566647
79,Shirokiy,49.758,129.523,43.16,58,48,17.13,RU,1652566647
80,Dikson,73.5069,80.5464,30.52,87,100,6.71,RU,1652566580
81,Lebu,-37.6167,-73.65,51.49,83,10,15.23,CL,1652566648
82,Khatanga,71.9667,102.5,34.75,100,100,9.86,RU,1652566649
83,Taoudenni,22.6783,-3.9836,86.72,9,9,11.18,ML,1652566050
84,Bathsheba,13.2167,-59.5167,81.21,69,20,19.57,BB,1652566649
85,Thompson,55.7435,-97.8558,44.76,93,100,4.61,CA,1652566520
86,Jamestown,42.097,-79.2353,74.84,60,100,6.91,US,1652566530
87,San Patricio,28.017,-97.5169,93.18,50,3,17.11,US,1652566397
88,Butaritari,3.0707,172.7902,80.82,74,13,9.24,KI,1652566519
89,Cadillac,44.2519,-85.4012,80.51,24,0,5.75,US,1652566597
90,Kapaa,22.0752,-159.319,82.72,75,40,12.66,US,1652566653
91,Norman Wells,65.282,-126.8329,41.68,87,100,9.44,CA,1652566066
92,Carnarvon,-24.8667,113.6333,62.76,53,0,16.87,AU,1652566653
93,Sayyan,15.1718,44.3244,60.44,21,1,4.56,YE,1652566654
94,Castro,-24.7911,-50.0119,56.84,86,99,1.99,BR,1652566654
95,Meulaboh,4.1363,96.1285,78.44,90,84,2.39,ID,1652566029
96,Olafsvik,64.8945,-23.7142,42.33,75,100,15.75,IS,1652566655
97,Saskylakh,71.9167,114.0833,24.39,95,100,11.16,RU,1652566656
98,Qaanaaq,77.484,-69.3632,18.54,76,95,2.64,GL,1652566518
99,Bambous Virieux,-20.3428,57.7575,75.45,73,40,6.91,MU,1652566657
100,Lompoc,34.6391,-120.4579,92.84,70,0,23.0,US,1652566657
101,Yerbogachën,61.2767,108.0108,48.76,66,12,3.02,RU,1652566173
102,Cidreira,-30.1811,-50.2056,64.51,91,100,7.05,BR,1652566658
103,Acapulco de Juárez,16.8634,-99.8901,89.42,62,100,11.5,MX,1652566639
104,Pisco,-13.7,-76.2167,66.02,82,20,5.75,PE,1652566170
